Subject,Movement_sequence,Movement_repetition,Movement_orientation,Xsens_recording_name,Xsens_comment,,Heure Xsens,Time diff,Pupil time,Pupil_folder,Pupil_recording_name,labeled,Expertise,Picture_face,Picture_side,max_threshold_acceleration,air_time_threshold,Xsens_jump_idx,Pupil_jump_idx,Pupil_frames_zero,Xsens_frames_zero,Treatment,,State,Twist_side,Notes
GuSe,4-/ 43/ 4-/ 43/ 4-/ 43/ 4-/,0 0 1 1 2 2 3,1 1 -1 -1 1 1 -1,GuSe_01,GuSe_4-_43_1,Test_17032021-002,12:58:26,0:07:38,13:06:04,2021-08-18_13-06-04-47da83ad,ab92cfe0_0.0-289.74,,Elite,IMG_7352.JPG,278714802_368303055344674_4324478428299023371_n.jpg,3,0.25,1 2 3 4 5,6 7 8 9 10,,0 200,,,OK,D,
GuSe,4-/ 43/ 4-/ 43/ 4-/ 43/ 4-/ 43/,0 0 1 1 2 2 3 3,1 1 -1 -1 1 1 -1 -1,GuSe_02,GuSe_4-_43_2,Test_17032021-003,13:05:14,0:07:38,13:12:52,2021-08-18_13-12-52-de913cc7,e38715cc_0.0-70.235,Mat,Elite,IMG_7352.JPG,278714802_368303055344674_4324478428299023371_n.jpg,4,0.25,0 1 2 3 4 5,1 2 3 4 5 6,,0 200,,,OK,D,
GuSe,4-o 41o 4-o 41o 4-o 41o 4-o 41o,0 0 1 1 2 2 3 3,1 1 -1 -1 1 1 -1 -1,GuSe_03,GuSe_4-_41_1,Test_17032021-004,13:07:50,0:07:38,13:15:28,2021-08-18_13-15-28-a93ef5e6,cb14768f_0.0-37.299,Mat,Elite,IMG_7352.JPG,278714802_368303055344674_4324478428299023371_n.jpg,,,,,,0 100,,,OK,D,
GuSe,41/ 42/ 41/ 42/ 41/ 42/ 41/ 42/,0 0 1 1 2 2 3 3,1 -1 -1 1 1 -1 -1 1,GuSe_04,GuSe_41-_42_1,Test_17032021-005,13:10:03,0:07:38,13:17:41,2021-08-18_13-17-41-d331853f,bf42b062_0.0-36.371,Mat,Elite,IMG_7352.JPG,278714802_368303055344674_4324478428299023371_n.jpg,3.5,0.25,2 3 4 5,3 4 5 6,,0 200,,,OK,D,
GuSe,41/ 42/ 41/ 42/ 41/ 42/ 41/ 42/ 41/ 42/ 41/ 42/,0 0 1 1 2 2 3 3 4 4 5 5,1 -1 -1 1 1 -1 -1 1 1 -1 -1 1,GuSe_05,GuSe_41-_42_2,Test_17032021-006,13:11:35,0:07:38,13:19:13,2021-08-18_13-19-13-cf27ff30,d64e6cd0_0.0-41.395,Mat,Elite,IMG_7352.JPG,278714802_368303055344674_4324478428299023371_n.jpg,3,0.25,,,,0 200,,,OK,D,
GuSe,4-o 8-1o 8--o,0 0 0,1 1 -1,GuSe_06,GuSe_8-1-8,Test_17032021-007,13:26:30,0:07:38,13:34:08,2021-08-18_13-34-08-24bb26ee,df297219_0.0-43.588,Yes,Elite,IMG_7352.JPG,278714802_368303055344674_4324478428299023371_n.jpg,3,0.25,,,,0 100,,,OK,D,
GuSe,4-o 8-1o 8--o 8-1o 8--o 8-1o 8--o 8-1o 8--o 8-1o 8--o,0 0 0 1 1 2 2 3 3 4 4,1 1 -1 -1 1 1 -1 -1 1 1 -1,GuSe_07,GuSe_8-1-8--_2,Test_17032021-008,13:27:38,0:07:38,13:35:16,2021-08-18_13-35-16-9b2cbd26,66676453_0.0-44.375,Mat,Elite,IMG_7352.JPG,278714802_368303055344674_4324478428299023371_n.jpg,3,0.25,0 1 2,5 6 7,,0 50,,,OK,D,
GuSe,4-o 8-1o 822/,0 0 0,1 1 -1,GuSe_08,GuSe_822_1,Test_17032021-009,13:30:14,0:07:38,13:37:52,2021-08-18_13-37-52-438720fa,bbc03433_0.0-32.879,Mat,Elite,IMG_7352.JPG,278714802_368303055344674_4324478428299023371_n.jpg,,,,,,,,,,,Probleme reconstruction
GuSe,4-o 8-1o 822/ 4-o 8-1o 822/ 4-o 8-1o,0 0 0 1 1 1 2 2,1 1 -1 1 1 -1 1 1,GuSe_09,GuSe_822_2,Test_17032021-010,13:36:52,0:07:38,13:44:30,2021-08-18_13-44-30-59a16e25,3eb5f745_0.0-107.708,,Elite,IMG_7352.JPG,278714802_368303055344674_4324478428299023371_n.jpg,3.5,0.25,1 2 3 4 5 6,0 1 2 3 4 5,,0 60,,,OK,D,
GuSe,4-o 8-1o 822/,0 0 0,1 1 -1,GuSe_10,GuSe_822_3,Test_17032021-011,13:41:06,0:07:38,13:48:44,2021-08-18_13-48-44-85bd6651,34c75d9c_0.0-28.191,Mat,Elite,IMG_7352.JPG,278714802_368303055344674_4324478428299023371_n.jpg,,,,,,0 65,,,OK,D,
